smiles,dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
COC(=O)C(C(OC(C(OC(=C(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(F)F,DTXSID8044969,63863-43-4,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),112,6.8131901070472154e-09,poly1,0.7755397352445266
C(=O)(C(C(C(C(C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID30382104,865-79-2,9-Chloro-perfluorononanoic acid,112,0.9999841389368217,exp2,0.7755397352445266
C(=O)(C(C(C(C(=O)O)(F)F)(F)F)(F)F)O,DTXSID8059926,376-73-8,Perfluoropentanedioic acid,112,0.000921711840382155,poly1,0.7755397352445266
C(CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,DTXSID20874028,914637-49-3,"2H,2H,3H,3H-Perfluorooctanoic acid",112,0.0,exp4,0.7755397352445266
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID8031863,375-95-1,Perfluorononanoic acid,112,0.9999923315838055,poly2,0.7755397352445266
C(C(C(C(=O)O)(F)F)(F)F)(F)F,DTXSID50892417,679-12-9,4H-Perfluorobutanoic acid,112,0.0005385404308272888,poly1,0.7755397352445266
C(C(C(C(C(F)F)(F)F)(F)F)(F)F)O,DTXSID0059879,355-80-6,"1H,1H,5H-Perfluoropentanol",112,1.5618843292808464e-11,poly1,0.7755397352445266
C(C(F)F)OS(=O)(=O)C(F)(F)F,DTXSID30378880,74427-22-8,"2,2-Difluoroethyl triflate",112,7.417297091607118e-18,exp4,0.7755397352445266
C(C(C(C(F)(F)I)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,DTXSID7047566,355-43-1,Perfluoro-1-iodohexane,112,1.6242834687557542e-10,poly1,0.7755397352445266
COC(=O)C(C(OC(C(OC(=C(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(F)F,DTXSID8044969,63863-43-4,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),112,0.9307327160945827,exp2,0.7755397352445266
C(CC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CO,DTXSID50382621,25600-66-2,7:3 Fluorotelomer alcohol,112,0.0,exp4,0.7755397352445266
C(=O)(C(C(F)(F)F)(F)F)O,DTXSID8059970,422-64-0,Perfluoropropanoic acid,112,0.0,exp5,0.7755397352445266
C(CO)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID1062122,2043-47-2,4:2 Fluorotelomer alcohol,112,3.8450585212619974e-14,poly1,0.7755397352445266
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID3031860,335-76-2,Perfluorodecanoic acid,112,1.1451754866571217e-06,exp4,0.7755397352445266
C(C(C(C(C(F)(F)S(=O)(=O)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID5027140,307-35-7,Perfluorooctanesulfonyl fluoride,112,7.530006585792636e-13,poly1,0.7755397352445266
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)O,DTXSID70276659,65294-16-8,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",112,5.873770097040289e-10,poly1,0.7755397352445266
C=CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID7074616,21652-58-4,"1H,1H,2H-Perfluoro-1-decene",112,4.652509692524178e-18,exp4,0.7755397352445266
